"","application_id","call_sign"
"228",111124,"KDHX"
"229",1225766,"KDHX"
"230",1439260,"KHJR"
"231",248595,"KRNM"
"232",166988,"DK13TW"
"233",1683218,"WDSW-LP"
"234",1371047,"WOLM"
"235",167031,"DK57DE"
"236",115296,"WURC"
"237",1313167,"WMAW-FM"
"238",1641532,"KGFJ"
"239",1779055,"KOFK-FM"
"240",167455,"KATQ"
"241",1402387,"K201FG"
"242",231923,"KGVA"
"243",1533762,"K201IN"
"244",1520159,"K201EY"
"245",1581942,"KXEM"
"246",695415,"K201CO"
"247",192341,"DK53DI"
"248",165514,"WGLO"
"249",160521,"W27EJ-D"
"250",158308,"DK259AO"
"251",1765644,"WWFJ"
"252",1783421,"W201AO"
"253",583289,"WJYJ"
"254",1679382,"WGHW"
"255",188801,"KCCY-FM"
"256",1539388,"WOPR"
"257",1346399,"W201DI"
"258",1127337,"WMTG-LP"
"259",1733283,"WKNC-FM"
"260",1547001,"WYTR"
"261",186476,"KIKN-FM"
"262",190311,"K294AB"
"263",195307,"WDKA"
"264",1510763,"K201FN"
"265",1699264,"KPPP-LP"
"266",1658264,"KJKR"
"267",166718,"KPOJ"
"268",1517317,"K201FJ"
"269",1755754,"KCFD"
"270",179701,"WTMZ"
"271",167330,"WCLS"
"272",166702,"911115MF"
"273",1231870,"KFHC"
"274",1393701,"KMLV"
"275",166891,"DK04IQ"
"276",1789754,"WYGG"
"277",1412314,"WZBL"
"278",1788332,"WNJS-FM"
"279",1755689,"WJPG"
"280",1284041,"WDNJ"
"281",233490,"WNJT-FM"
"282",167291,"DKRDG"
"283",275800,"K201CY"
"284",1632695,"KENE"
"285",1231653,"KUSW"
"286",1746647,"KGGA"
"287",158980,"WKZB"
"288",1230986,"KIDS"
"289",1522779,"KQTO"
"290",1276156,"K201CC"
"291",180824,"KHTK"
"292",1728883,"K201IW"
"293",167512,"WHYI-FM"
"294",167009,"DK05FU"
"295",1800074,"KNMA"
"296",167826,"KJJP"
"297",162601,"DK249CB"
"298",1506333,"KTQQ"
"299",187365,"KCEP"
"300",1563286,"K201HX"
"301",1006853,"K201HO"
"302",111438,"K201BF"
"303",1071105,"K201FF"
"304",1523348,"WLHV"
"305",166140,"DW27BD"
"306",121993,"WXBA"
"307",185660,"WCWP"
"308",185604,"KLAT"
"309",151402,"K36KD-D"
"310",1396449,"WSLZ"
